time,frequency,confidence
0.000,0.000,nan
0.010,1964.225,0.057465
0.020,1961.278,0.075938
0.030,35.996,0.062172
0.040,145.578,0.113675
0.050,163.862,0.103960
0.060,103.483,0.215041
0.070,105.621,0.179718
0.080,161.095,0.286962
0.090,157.390,0.188892
0.100,338.356,0.126470
0.110,173.464,0.133835
0.120,351.153,0.265045
0.130,348.900,0.241365
0.140,347.037,0.256739
0.150,201.131,0.456456
0.160,206.721,0.554744
0.170,209.429,0.201914
0.180,233.710,0.611275
0.190,237.796,0.758270
0.200,241.967,0.665832
0.210,246.281,0.604705
0.220,1024.513,0.520397
0.230,1040.344,0.500229
0.240,262.937,0.719685
0.250,263.769,0.782826
0.260,264.453,0.782701
0.270,262.307,0.770245
0.280,259.637,0.691498
0.290,256.615,0.473901
0.300,253.542,0.349348
0.310,245.848,0.244452
0.320,236.875,0.341065
0.330,360.461,0.266392
0.340,349.905,0.370742
0.350,344.689,0.316880
0.360,352.161,0.345950
0.370,332.458,0.377172
0.380,316.545,0.324888
0.390,112.154,0.203353
0.400,113.241,0.317507
0.410,113.485,0.212783
0.420,109.302,0.188479
0.430,145.950,0.192957
0.440,145.704,0.217202
0.450,137.640,0.287293
0.460,132.527,0.293139
0.470,125.386,0.379640
0.480,122.375,0.190576
0.490,136.848,0.204312
0.500,136.964,0.551988
0.510,133.555,0.474679
0.520,131.549,0.512468
0.530,129.377,0.472095
0.540,260.564,0.435511
0.550,258.505,0.399296
0.560,132.637,0.226806
0.570,274.296,0.344623
0.580,272.392,0.166849
0.590,133.156,0.267767
0.600,139.579,0.310177
0.610,138.817,0.256979
0.620,136.555,0.184773
0.630,131.684,0.188915
0.640,126.823,0.240308
0.650,377.335,0.238797
0.660,374.218,0.318492
0.670,375.036,0.540830
0.680,374.699,0.557775
0.690,375.858,0.614201
0.700,373.649,0.504701
0.710,157.636,0.346026
0.720,158.798,0.268144
0.730,294.883,0.213893
0.740,292.993,0.224422
0.750,288.387,0.251565
0.760,283.077,0.159416
0.770,189.168,0.158623
0.780,192.210,0.201321
0.790,191.856,0.163652
0.800,190.078,0.171720
